openedAt,mintAmount,option,depositAmount,withdrawAmount,premiumEarned,strikePrice
2023-06-30,2489.09672589,0xf376d6785f31f1e3613d00850faa21bbdf8c9167,2489.096725891569,2489.096725891569,5.10259345178,2100.0
2023-06-23,2689.84538987,0xa080767ab3929038ff695b701a136f429142f915,2689.845389878028,2689.845389878028,9.279874325558,2100.0
2023-06-16,2777.86764572,0xcfe6e233517fcc17cbcc141c5ce520e80c61843e,2777.8676457201127,2671.4758874948598,6.528082349728,1800.0
2023-06-09,3084.75669246,0xd286755f1b2fc2f273df353dfc56a7c7c118de93,3084.7566924641324,3084.7566924641324,5.398362046428,2000.0
2023-06-02,3159.25618016,0x177ee753cab487333ea668fa1731be1447c5390e,3159.2561801652428,3159.2561801652428,5.054809888256,2050.0
2023-05-26,3501.50336532,0x056c26a276e3c98ba58eaf558ce21e8498b90d07,3501.503365329795,3501.503365329795,8.053457740236,1950.0
2023-05-19,3597.68682987,0xac9a57798c1b54aafc95b40857ac1c870e814133,3597.6868298721006,3597.6868298721006,12.951672587532,1950.0
2023-05-12,3639.84363763,0xef0aa63242ec1140542258f893323c34d77d9b69,3639.843637630248,3639.843637630248,9.463593457838,1950.0
2023-05-05,3628.7500314,0x94c7a756771eab7e90ac9253d74a256fef0d1e17,3628.750031400227,3628.750031400227,9.97910008792,2100.0
2023-04-28,3729.9365058,0x186b438551c35a7eadabf4c74771fc7836105c7c,3729.9365058022313,3729.9365058022313,8.20586031276,2150.0
2023-04-21,3720.92418371,0x956a64899581965370d53c745b60827ff6830971,3720.9241837184204,3720.9241837184204,12.651142224614,2150.0
2023-04-14,3788.97087037,0xc669b35b0f2aba5971239ba1b377e3b4724c35aa,3788.970870379081,3788.970870379081,12.882500959258,2450.0
2023-04-07,4097.37906472,0x471e9d656dc5a41c145afcd1b7147d6fd1519b2b,4097.379064726352,4082.825902815895,13.111613007104,2100.0
2023-03-31,4148.98862893,0xd0e28d3e858f341d40f6c57dadcbcad5cdccb199,4148.988628939081,4148.988628939081,11.409768161004,2050.0
2023-03-24,4124.13192399,0xd1d7f1efcdb3cf2f2af73154d9292da62fbdfdb6,4124.131923992997,4124.131923992997,16.702740888359,2050.0
2023-03-17,4302.20810644,0x4ac9d0e0552197f76f5b63dd022d148e539efa9c,4302.208106447423,4302.208106447423,14.197349183184,2050.0
2023-03-10,6792.00304943,0x4384da405f3208bcfcbaae4daabb36ff1b78134a,6792.003049439493,6184.963728327803,16.980007928518,1550.0
2023-03-03,6851.62960372,0xe7ad9bc822f924f9c0ae0cff1cf71107fc936f23,6851.6296037267875,6851.6296037267875,16.101329568728,1750.0
