mintAmount,openedAt,openTxhash,premiumEarned,strikePrice
6810.73594613,2023-01-06,0x9e6d2aeb2e5a8b053617b90ffbc4f0e6831a9838b31ab743d3fbaf8a2fd91fed,13.62147189226,1375.0
7344.86304184,2022-12-30,0x73366250480aab1cfb4cd90ac3b96efa076f2a580cd8808d26b6f4a0f86e2073,19.096643908784,1300.0
8013.32515487,2022-12-23,0x01e78114ff98266a67ec6ede841ee4515eb1d958409b86317dabc0b413f4241e,20.033312887175,1350.0
7767.9186023,2022-12-16,0x3b57a994c420009a8f907837087c044d6194c485ccb1400c47832caad79532f7,19.41979650575,1400.0
7796.46350925,2022-12-09,0x6efab3a89401e08feb07fa4119d95c97162629f3a770e65e8be060a09ac14140,24.9486832296,1450.0
8453.78774477,2022-12-02,0x626a98a504343e000d2dd14f93432e7b57a66b5ffbf28ec72ee0ec14c93c4b52,27.897499557741,1450.0
9472.13382399,2022-11-25,0x28eca732a419d7db59cf1a294697f505efa17b84868c65c098163140088fa3b8,22.733094412778,1350.0
9355.06959346,2022-11-18,0xf8a54b1c73a14e6e99415058e394f574c879b76955267c7cf8fc081970081c5a,37.888085333186,1400.0
9643.87494781,2022-11-11,0xcb8558264f000f409628e8984cc5cba26450fb05f3f56640ecaa0ad0b07d3b27,31.824787327773,1550.0
10048.47222136,2022-11-04,0xe1c6148001392de405a1722cbef577248d5d183beab7c0fa2613134bd290c8c8,31.150263886216,1850.0
11249.02729593,2022-10-28,0x08142249fd9c0043669a5fcf93552214d8e930e607765f98655da8cafb43743a,46.121011913313,1700.0
11516.30770193,2022-10-21,0x184be7e98d3ddcfefe27c46586bf7723633abf2200cc14038ce1eff2cdf4aba8,19.001953863474,1450.0
12002.1977566,2022-10-14,0x926e6cd5cc5250be34b8f809af02def4d260c774e4da87c66ea83100bf3587d3,30.60557461584,1500.0
11821.45329161,2022-10-07,0x28f10b1817691c7ff85266f591a722f814156e42fb8e0ffb8a2faec8bec9d31c,34.282069216508,1550.0
11877.42589682,2022-09-30,0x3acb6332062d805f175901344e54bc0c07cbbe6f25109f4553093394b2ddf229,53.44841653569,1550.0
10890.23877125,2022-09-23,0xa1b4884b5c9928d5d983475f9649ab5788a3acf9c7671f42779530dd1748d7b9,45.73900283925,1550.0
10680.62502706,2022-09-16,0x9039cf3185c0ac88123d7e359c999903af8bd92f1647486f5731fb2730cafadc,56.073250140712,1750.0
9794.7265329,2022-09-09,0x5be96bf8cadc170a2f2e72555ada2bc5ae09cbf9ae1ffda91ef2b5e750f96b71,37.21996082502,2200.0
11937.99841104,2022-09-02,0x7527596f5375c79501787bf0a562baceefd49944692ab45ae242756cc1f41b25,53.72099284968,1900.0
12708.22516909,2022-08-26,0x4e226ef2992da78e41fe75adc9e002265218dd67eff4aec546346bd3297110bb,55.280768227087,1950.0
12662.03700639,2022-08-19,0x36ab00746942485aeb845cb67b65938aa99c98858088aafc9e5d1df8e55c006e,45.583333223004,2100.0
12897.99619508,2022-08-12,0x9513036e7853a5d24b5d109b6ecf98b73bb884f4e9581389267d60ef9f73a755,77.387376029004,2200.0
14386.05931431,2022-08-05,0xe1c7f9fa688efdf97732d21e6b38b1e8d8b83be98f972a589823d6778f3c211f,70.64993729267132,2000.0
14014.79805704,2022-07-29,0x9ff72095d4c4152d329fb8924e6c3fafcb3027991f5be605c229f019b4c55808,80.31892845965926,2100.0
18316.65394692,2022-07-22,0x17d6d34a29fd78c8373113ab599eb8c48c24068d93a6f1db55c23b102f9ad96d,82.67928864279737,2100.0
22870.60192562,2022-07-15,0x6a2b9d4c744631a1fc44684a720ecfefc105e57ded8729f88d2a541d001ccbc0,125.9026636005381,1400.0
17131.11762629,2022-07-08,0xfaf98d00e31b97250142ff835f9afa42155874f2ff6b7b0d0b086ec9033a8c56,55.09367428629761,1450.0
