mintAmount,openedAt,openTxhash,premiumEarned,strikePrice
3044.02474103,2023-04-07,0x6c3fa8a99205aee21433887be5f7e88cf8229e7f3c6ba8ca0c36761d7f1b13e2,22119.980609,1650.0
3132.98360735,2023-03-31,0x00c1b2a3e6e4834866d4f387a65960ec38d29a32439eededf093a2c8f4149822,19424.596726,1600.0
3554.48871164,2023-03-24,0xb4af7cf3358b9b6d68201608695106e21a23ce12d59094df4f2a474f112e2f40,25829.616466,1550.0
4998.49377894,2023-03-17,0x6cbcd142a84baacd73e23884d74a77ffcd8af15c982d5daa9372dc06c46838cb,41321.145254,1500.0
7494.16419571,2023-03-10,0x0572c921c75828da4531c150b9dd75cb28e0a3774d9f425663012fd99ec2d32d,59203.929985,1150.0
6205.91974832,2023-03-03,0x856906f6d5c4d1fc018f08b175fe53ea4eabef9828196339a6dc6b95905596d0,0.0,1400.0
5980.61586749,2023-02-24,0x4d8b929e71c9f002f782febc8ca421a0869f45d47254be69326f8b8ae00de045,31697.10251,1450.0
5963.52055291,2023-02-17,0x631e14ac99422baed42c4c4fc013cdaaee7e3a0ddc9787fa9227d4cea9d591df,37172.779483,1450.0
6414.35022901,2023-02-10,0x406fd9a00dbe1c130a495f72191f5a08dd514d7578d40621f948e3c761a8c376,37203.231328,1350.0
5961.52069696,2023-02-03,0x4b5e4cfa7abbae51e81dc87b607eca82d73e4cff34669c7165431baa3c1f8690,43319.101087,1450.0
6452.00093338,2023-01-27,0xcd10f2b153c2ab2b642c8b0a0b5265567abb0f8ffd599a611a8024e26f900c4c,33765.80504,1400.0
6677.90307021,2023-01-20,0x1c85493535b2add84937d9510ecc97305fd32b55b2640422b80476509da52682,28715.273508,1375.0
7337.9515609,2023-01-13,0xd0049cb5a9285ca4d6f43f859400d0f3ff52966260ae5f35c331085913686ee4,28618.011087,1250.0
8602.03855492,2023-01-06,0x0119f1303c0b4d1e0036ca92ab42d4cdc598c937c1c6948619f4e5f2009b0b7e,22652.104098,1100.0
13836.31281248,2022-12-30,0x48d6f94272285194715ccebef04d0fbbb24918a5fa3dfc400481b785db661716,37357.950749,1050.0
13611.04810541,2022-12-23,0xa272252c422c39a87243e760eeeae4f13a8750aa54bea606de66335c23c63cea,44009.049126,1075.0
13867.30439792,2022-12-16,0x6330a2df086bb5eeb79622af89a3594b18831f9b7995a54b2c014968748be9a3,70723.252429,1050.0
12861.44571512,2022-12-09,0xebb32edbd2dcc8e2d69faa1124597f2c7dbf4b885a3262bc4a7d6a5cb09ac9e3,77168.67429,1100.0
12787.23585422,2022-12-02,0xa37dec6e8904a3f278e071751d3dcf160f8cdc73ae488c2042d1305f1791ad8f,75870.891539,1100.0
9549.87576413,2022-11-25,0xb51faf4f3895024c4d3288be0e878ada1369fd0f0f650d3319178b86c59d811b,60800.817314,1000.0
