datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber
2023-07-28,0,8711782.55040563450347261,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17794634
2023-07-27,0,8245218.455371852180175527,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17787172
2023-07-26,0,8132795.678412764376896454,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17780395
2023-07-25,0,7781454.978916634269968138,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17773123
2023-07-24,0,7897288.251798850336934783,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17765872
2023-07-23,0,7117515.513240705385605112,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17758496
2023-07-22,0,6706839.37274109704009628,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17751840
2023-07-21,0,6155121.566983149635085192,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17744485
2023-07-20,0,5528661.293279196136840979,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17737689
2023-07-19,0,3516001.257715282400590388,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17730538
2023-07-18,0,3142976.434692877355376772,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17723412
2023-07-17,0,2734672.235254752383463853,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17716380
2023-07-16,0,2209723.81453807472728937,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17709223
2023-07-15,0,1276478.388844921292625724,0,0,1.5,0,Aave Ethereum GHO,0,0,1,17702094
