datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,utilizationRate,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber
2023-08-17,227866042.450667610453,24300896.035380541419,227866042.450667610453,0.10664553513120158,7.6589279444420495,0.9479588253954568,0.0808763341180621,Aave Ethereum WBTC,4946731.2150991932400804,3750727.2385001929922581,26611.1767,17937958
2023-08-16,247068245.5484500276081656,26371002.2618249872242372,247068245.5484500276081656,0.1067357005077111,7.6603315042519846,0.9487608595725626,0.0810132451791181,Aave Ethereum WBTC,311843.1073319768792089,1590729.6857067095816221,28891.51998708,17930361
2023-08-15,250773947.1942891171284608,26921029.1465540835921296,250773947.1942891171284608,0.1073517781561926,7.6699158290611137,0.9542376166063507,0.0819512486051912,Aave Ethereum WBTC,2835955.892755378549721,671451.7663188881148239,29175.20337232,17923477
2023-08-14,250369443.5979047271447695,27298021.0566505950335343,250369443.5979047271447695,0.10903096106444773,7.6960311006805309,0.9691606289603033,0.0845345092254058,Aave Ethereum WBTC,1268849.0436129702361403,4825384.380384868053405,29380.44999679,17916171
2023-08-13,253375259.1101944541180382,26482980.7245678432807355,253375259.1101944541180382,0.10452078398487294,7.6258739792734979,0.9290708452991416,0.0776855372026375,Aave Ethereum WBTC,1151673.7947984590109936,2666977.4926239655336358,29316.10819939,17909333
2023-08-12,255661135.2371883613,26454916.24039388535,255661135.2371883613,0.10347648740529321,7.609630333841804,0.9197887621953166,0.0761410230354713,Aave Ethereum WBTC,953030.5753884316348219,2644763.99095309894219,29404.829,17901797
2023-08-11,257419492.0903270724824716,26328662.2816088219474438,257419492.0903270724824716,0.10227920996895698,7.591006897778132,0.9091467987303611,0.0743893111477497,Aave Ethereum WBTC,7611733.4788508017614566,7648074.9105265609425339,29412.62437261,17894723
2023-08-10,257873683.19848105236,26406695.7480502869,257873683.19848105236,0.10240166976529162,7.5929126141433659,0.9102357795104948,0.074567625687097,Aave Ethereum WBTC,3753166.0097211919961101,12270635.7738073975049759,29459.6652,17887788
2023-08-09,267184679.4279505812104806,26448470.2584967117352055,267184679.4279505812104806,0.09898947168349466,7.5398348777729658,0.8799056444416947,0.0696810548808319,Aave Ethereum WBTC,2516506.9617196674932466,1163595.5341948122994169,29549.92341653,17880721
2023-08-08,268564022.0979437947826062,26817089.8484344503144343,268564022.0979437947826062,0.0998536201496655,7.5532779484557124,0.8875873991175499,0.0709030251965031,Aave Ethereum WBTC,5809849.1535737716778198,297413.8044381539360786,29826.56443151,17873557
2023-08-07,256954271.1494267809587483,26177987.9218125844237452,256954271.1494267809587483,0.10187800266837861,7.584763385890486,0.9055790776517063,0.0738066119292464,Aave Ethereum WBTC,3848622.5729675222298739,1447110.6276807799570892,29142.37247957,17866301
2023-08-06,253726299.762287214971884,26327029.237457505387776,253726299.762287214971884,0.1037615306813797,7.6140633993671121,0.9223219424954926,0.0765609989047793,Aave Ethereum WBTC,1765349.5350155163537841,686046.5052008900964962,29048.4523366,17859098
2023-08-05,252577634.6404396769464122,26319357.6571647363054411,252577634.6404396769464122,0.1042030411545821,7.6209321236785461,0.926246927816312,0.0772140034160241,Aave Ethereum WBTC,2439894.9481602037239274,1536858.0848128801788306,29040.69707303,17852205
2023-08-04,251486986.006186587873768,25979335.325010719820148,251486986.006186587873768,0.10330290142477444,7.6069308124570464,0.9182461785468837,0.075885843997436,Aave Ethereum WBTC,2058524.6714575807288597,5810112.9236778777873031,29019.0390236,17845011
2023-08-03,256768040.1309194252637425,25246034.270561832048629,256768040.1309194252637425,0.09832233893941601,7.5294563578650349,0.8739750616371628,0.0687449167527314,Aave Ethereum WBTC,945423.4422012919887066,1329269.0367352777722016,29195.90464165,17837786
2023-08-02,256733005.1136502276342354,25355070.4004722105090746,256733005.1136502276342354,0.09876046279771493,7.5362723583643071,0.8778699190653184,0.0693590035319774,Aave Ethereum WBTC,2714232.3609388381001366,2007377.1183972970047848,29148.64436666,17830419
2023-08-01,259864540.192134769743676,25096138.078851005157024,259864540.192134769743676,0.09657392293806534,7.5022602328960596,0.8584344187977483,0.0663218686238965,Aave Ethereum WBTC,17118315.489557318833412,6782105.8993633635874276,29583.4657228,17823554
2023-07-31,246164490.4966192003105299,36406674.2450026635370442,246164490.4966192003105299,0.1478957187186292,8.3005934150079176,1.3146248085759529,0.1555414548591025,Aave Ethereum WBTC,30759503.4256279039007167,8015307.0322097364068131,29201.79431113,17816367
2023-07-30,223115806.9298916257,33472189.8530708655,223115806.9298916257,0.15002159781350066,8.3336644254044889,1.3335225288025651,0.1600454101341589,Aave Ethereum WBTC,6139766.5540832061957564,1772396.6266090966147444,29156.59,17809154
2023-07-29,220282332.540979511137266,21623832.8131505318258775,220282332.540979511137266,0.098164172149974,7.5269958664453195,0.8725690665401826,0.0685239098294525,Aave Ethereum WBTC,6291392.846628873093099,301579.6820711933002393,29360.47659045,17801286
2023-07-28,213960789.1254509146846782,21527225.2695400156738251,213960789.1254509146846782,0.10061294575296238,7.5650884968514415,0.8943362839151094,0.0719853649854378,Aave Ethereum WBTC,278385.5354581925044338,86353.226368377782751,29315.15549127,17794596
2023-07-27,212622246.67831215991246,21411264.195791284996156,212622246.67831215991246,0.10070095923774881,7.566458430169464,0.8951191029539795,0.0721114387625823,Aave Ethereum WBTC,583495.9465742188164379,76135.8298496332891348,29158.0383764,17786860
2023-07-26,213312165.7032525258069989,21531248.5097481843474869,213312165.7032525258069989,0.1009377427619445,7.5701423996162357,0.8972242283521347,0.0724510184347875,Aave Ethereum WBTC,882970.5403421668195477,458233.1973205930669123,29322.05805911,17780667
2023-07-25,212156635.628750481208911,21465171.981320055587667,212156635.628750481208911,0.1011760575751287,7.5738370107578737,0.899335434718785,0.0727923801726743,Aave Ethereum WBTC,1576974.8386721267858014,364405.8636203862660967,29221.78830014,17772986
2023-07-24,210073791.9554783707597049,21375347.7517114013073806,210073791.9554783707597049,0.10175161571911621,7.5827908350659789,0.9044519057519879,0.0736229924836563,Aave Ethereum WBTC,1266029.0996553766033048,3342941.9780534601807893,29101.77362879,17765398
2023-07-23,219426127.627665074913321,22572668.1209296268684284,219426127.627665074913321,0.10287137801215832,7.6002102136440777,0.9144058363680444,0.0752524230225549,Aave Ethereum WBTC,134573.1002635724437231,449205.9445020205196705,30057.08665526,17758064
2023-07-22,217996637.0407271123699934,22392873.0703486427068296,217996637.0407271123699934,0.10272118586015208,7.5978746230807415,0.9130712131889952,0.0750329136318981,Aave Ethereum WBTC,527096.2481600454745221,163146.2635295450858519,29818.31212602,17751981
2023-07-21,218155874.0074622013,22445428.0842868461,218155874.0074622013,0.10288711310848811,7.600456604366674,0.9145466310666709,0.0752755986355858,Aave Ethereum WBTC,12671319.8271385197141148,98670.9303589305881758,29889.93,17743958
