datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber,maximumLTV,totalCollateralBalanceUSD
2023-10-08,63492429.69761298,5668958.859573659,63492429.69761298,10.388883294748272,1.3888832947482737,0.105405896922827,Aave Ethereum rETH,26999.383892377806,1155.5005639166873,1775.43599444,18307910,74.5,7609340.751105582
2023-10-07,63501666.77894632,5671896.465881013,63501666.77894632,10.389401578693125,1.3894015786931244,0.1054845793828096,Aave Ethereum rETH,162810.2234277764,60504.49129195656,1776.42398788,18300726,74.5,7613283.846820151
2023-10-06,63912148.46160754,5717535.479995212,63912148.46160754,10.391586785551995,1.3915867855519957,0.1058166459298604,Aave Ethereum rETH,1444545.4487137464,101473.67166676425,1790.78810316,18293382,74.5,7674544.268449949
2023-10-05,61236930.5005553,5693659.286797823,61236930.5005553,10.446315750813552,1.446315750813552,0.1143035269324498,Aave Ethereum rETH,1412291.2497313637,34491.97632413555,1753.05326521,18286638,74.5,7642495.686976945
2023-10-04,60881727.433544904,5770819.543840352,60881727.433544904,10.47446956090613,1.474469560906131,0.1187968765585442,Aave Ethereum rETH,148662.5768921387,329970.249759223,1782.36752827,18279714,74.5,7746066.501799131
2023-10-03,61575237.39842032,5783246.1816052515,61575237.39842032,10.46099758832576,1.460997588325761,0.1166359410083338,Aave Ethereum rETH,218841.58544152544,26881.797738704856,1797.37869566,18273053,74.5,7762746.55249027
2023-10-02,61555886.5795726,5799223.216878225,61555886.5795726,10.46549508651456,1.4654950865145604,0.1173551445841224,Aave Ethereum rETH,368345.9039062127,1871.466440238246,1802.40965677,18266252,74.5,7784192.237420437
2023-10-01,63783366.974768065,6046212.78986295,63783366.974768065,10.474552913042892,1.474552913042891,0.1188103081730647,Aave Ethereum rETH,248125.63040895047,0.0,1878.66695109,18259024,74.5,8115721.865587853
2023-09-30,61624550.46606324,5862452.74130528,61624550.46606324,10.47982460005452,1.4798246000545214,0.1196613462784851,Aave Ethereum rETH,261589.048717203,214730.94209952597,1822.22410953,18250988,74.5,7869064.0822889665
2023-09-29,61133333.28295108,5820069.372105586,61133333.28295108,10.480931478381889,1.4809314783818872,0.1198404216715505,Aave Ethereum rETH,69564.66256632702,7829.612115781098,1809.11664938,18244488,74.5,7812173.653833002
2023-09-28,60470382.85765958,5720846.822855407,60470382.85765958,10.47164386855036,1.4716438685503617,0.1183419851442167,Aave Ethereum rETH,572723.286205322,0.0,1791.32162605,18237451,74.5,7678989.0239669895
2023-09-27,57873608.21302098,5528112.6068529645,57873608.21302098,10.485873016271205,1.4858730162712048,0.1206415174763864,Aave Ethereum rETH,36865.31785764329,86467.6479031332,1731.05299085,18230250,74.5,7420285.378326126
2023-09-26,57630333.03087284,5499979.221293382,57630333.03087284,10.48454532169963,1.4845453216996303,0.120426016522707,Aave Ethereum rETH,19676.780795679595,409605.15896964376,1722.31100695,18223357,74.5,7382522.444689103
2023-09-25,57650237.99443687,5498812.988010062,57650237.99443687,10.483719496688217,1.4837194966882175,0.1202920722723103,Aave Ethereum rETH,504517.3228426013,38.054311756731295,1711.33181221,18211952,74.5,7380957.03088599
2023-09-24,57585509.26644588,5541081.788816926,57585509.26644588,10.49680565059724,1.4968056505972391,0.1224233410056975,Aave Ethereum rETH,132935.92033116732,407964.4350301201,1724.51991698,18208587,74.5,7437693.676264331
2023-09-23,57967671.84131256,5551344.336203541,57967671.84131256,10.48969250210986,1.48969250210986,0.1212625406710276,Aave Ethereum rETH,87138.47311120517,21190.68532681512,1727.73150319,18201568,74.5,7451468.90765576
2023-09-22,57899551.741817534,5550921.209020872,57899551.741817534,10.491332376416194,1.4913323764161943,0.1215296626117563,Aave Ethereum rETH,12306.55238089517,643245.7517774953,1727.67246235,18194213,74.5,7450900.951705868
2023-09-21,58458600.32480758,5515515.251823652,58458600.32480758,10.467650151907,1.4676501519069995,0.1177005486300263,Aave Ethereum rETH,38891.83764784629,0.0,1725.5843784,18186432,74.5,7403376.176944499
