timestamp,totalLiquidityAsCollateral
2023-11-01,18826207979421
2023-11-01,1656981500963158323659560
2023-11-01,26895995528175105691043420
2023-11-01,2866433541103975541954
2023-11-01,2866433541103975541954
2023-11-01,0
2023-11-01,1656981500963158323659560
2023-11-01,65404416516840
2023-11-01,18826207979421
2023-11-01,0
2023-11-01,1656979000963158323659560
2023-11-01,1656979000963158323659560
2023-11-01,1656975059904601727210394
2023-11-01,1656975059904601727210394
2023-11-01,26895995528175105691043420
2023-11-01,448403223850
2023-11-01,1898073512081075805173872
2023-11-01,1898073512081075805173872
2023-11-01,1898073512081075805173872
2023-11-01,65404416516840
2023-11-01,1656975059904601727210394
2023-11-01,1656975059904601727210394
2023-11-01,65404416516840
2023-11-01,1656975059904601727210394
2023-11-01,1656975059904601727210394
2023-11-01,0
2023-11-01,1656975059904601727210394
2023-11-01,466916706898351952636827
2023-11-01,18826207979421
2023-11-01,1656975059904601727210394
2023-11-01,18846542979421
2023-11-01,25023115971618190733694
2023-11-01,466928706898351952636827
2023-11-01,1656974599904601727210394
2023-11-01,1656974599904601727210394
2023-11-01,1656972629372111719488976
2023-11-01,65404416516840
2023-11-01,65404416516840
2023-11-01,65404416516840
2023-11-01,1656972629372111719488976
2023-11-01,1656969629372111719488976
2023-11-01,65404416516840
2023-11-01,65404416516840
2023-11-01,1898073512081075805173872
2023-11-01,1656969629372111719488976
2023-11-01,466931566898351952636827
2023-11-01,0
2023-11-01,1656969629372111719488976
2023-11-01,1656969629372111719488976
2023-11-01,1656969629372111719488976
2023-11-01,1656969629372111719488976
2023-11-01,1656969629372111719488976
2023-11-01,1656969629372111719488976
2023-11-01,1656969629372111719488976
2023-11-01,1898073512081075805173872
2023-11-01,1898073512081075805173872
2023-11-01,466931566898351952636827
2023-11-01,65404416516840
2023-11-01,448360537506
2023-11-01,65404416516840
2023-11-01,65404416516840
2023-11-01,466931566898351952636827
2023-11-01,448360537506
2023-11-01,26895995528175105691043420
2023-11-01,18752818877896
2023-11-01,1656969629372111719488976
2023-11-01,1656969629372111719488976
2023-11-01,1656965195638157994747842
2023-11-01,1656965195638157994747842
2023-11-01,466930355216117785765741
2023-11-01,466930355216117785765741
2023-11-01,65404416516840
2023-11-01,65404416516840
2023-11-01,1656965219708770545584336
2023-11-01,0
2023-11-01,1656965195638157994747842
2023-11-01,1656965219708770545584336
2023-11-01,65402760516840
2023-11-01,65402760516840
2023-11-01,3527650344072951952294
2023-11-01,0
2023-11-01,1656967772702892868100701
2023-11-01,26810995528175105691043420
2023-11-01,18752818877896
2023-11-01,18752818877896
2023-11-01,1656967772702892868100701
2023-11-01,1656967672702892868100701
2023-11-01,1656967672702892868100701
2023-11-01,1656963891396825940143655
2023-11-01,65402760516840
2023-11-01,1656963891396825940143655
2023-11-01,1656963891396825940143655
2023-11-01,1656963891396825940143655
2023-11-01,0
2023-11-01,65402760516840
2023-11-01,18752818877896
2023-11-01,1656963891396825940143655
2023-11-01,466930355216117785765741
2023-11-01,65402760516840
2023-11-01,65452760516840
2023-11-01,18752818877896
2023-11-01,65452760516840
2023-11-01,65452760516840
2023-11-01,18752818877896
2023-11-01,1656963891396825940143655
