timestamp,totalLiquidityAsCollateral
2023-11-01,18866199979421
2023-11-01,1654166912708857534060409
2023-11-01,1654166912708857534060409
2023-11-01,1654161760884201277526767
2023-11-01,65584011622103
2023-11-01,65584011622103
2023-11-01,65584011622103
2023-11-01,1654161760884201277526767
2023-11-01,448600308913
2023-11-01,18866199979421
2023-11-01,65584011622103
2023-11-01,448600308913
2023-11-01,1654158250884201277526767
2023-11-01,18866199979421
2023-11-01,65584011622103
2023-11-01,26895995528175105691043420
2023-11-01,1654155300884201277526767
2023-11-01,65584011622103
2023-11-01,26895995528175105691043420
2023-11-01,448591691321
2023-11-01,-22903756571949248479136780
2023-11-01,18866199979421
2023-11-01,448580215170
2023-11-01,65584011622103
2023-11-01,1654155300884201277526767
2023-11-01,18866199979421
2023-11-01,18866199979421
2023-11-01,448551626124
2023-11-01,18866199979421
2023-11-01,448551626124
2023-11-01,448551626124
2023-11-01,18866199979421
2023-11-01,65584011622103
2023-11-01,448551626124
2023-11-01,448551626124
2023-11-01,0
2023-11-01,18866199979421
2023-11-01,65604011622103
2023-11-01,65604011622103
2023-11-01,1654153120884201277526767
2023-11-01,65604011622103
2023-11-01,1654153120884201277526767
2023-11-01,1654149250884201277526767
2023-11-01,1654148697884201277526767
2023-11-01,1654148697884201277526767
2023-11-01,1654092627680047681865343
2023-11-01,448551626124
2023-11-01,65604011622103
2023-11-01,18866199979421
2023-11-01,1654092627680047681865343
2023-11-01,65604011622103
2023-11-01,1654087827680047681865343
2023-11-01,65604011622103
2023-11-01,65604011622103
2023-11-01,65604011622103
2023-11-01,65502900561497
2023-11-01,1654085597680047681865343
2023-11-01,1654087097680047681865343
2023-11-01,65502900561497
2023-11-01,1654085597680047681865343
2023-11-01,1654085597680047681865343
2023-11-01,448403223850
2023-11-01,65502900561497
2023-11-01,448403223850
