datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,utilizationRate,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber,maximumLTV,totalCollateralBalanceUSD
2023-06-25,208883222.0576007,178631961.7854157,208883222.0576007,0.8551762081502025,4.975075619355017,3.325529335485128,2.559402212156985,Aave Ethereum USDC,51725190.262285426,41802875.06041241,0.99998938,17559907,77,231989560.76028016
2023-06-24,198906311.085092,177423469.9036638,198906311.085092,0.8919951756973773,4.9955326435152845,3.468728504606992,2.7845664929500495,Aave Ethereum USDC,30068277.338405512,28414294.316162176,0.9998,17552601,77,230420090.783979
2023-06-23,197269955.24964577,177610995.99481183,197269955.24964577,0.9003448891649238,5.1893946193791685,3.689394619379169,2.9894577689316417,Aave Ethereum USDC,47777274.51126415,48867177.538358726,0.99996703,17545426,77,230663631.1620933
2023-06-22,198325662.1792777,176467148.16673827,198325662.1792777,0.8897847420633831,4.994313257999116,3.4601928059938114,2.7708790703621644,Aave Ethereum USDC,69072925.48983897,74423238.33853325,0.999875,17538566,77,229178114.50225747
2023-06-21,203691895.99854207,179320768.95545298,203691895.99854207,0.880352986437597,4.989078351437402,3.4235484600618102,2.712501167799197,Aave Ethereum USDC,72140360.01907787,69215460.90021214,1.000032,17531463,77,232884115.52656233
2023-06-20,200875319.63625228,171112646.09178436,200875319.63625228,0.8518350905508821,4.973239124951419,3.3126738746599353,2.539652754823462,Aave Ethereum USDC,36519058.76888042,37942718.48583652,1.00021167,17524304,77,222224215.70361605
2023-06-19,202274178.67357245,165150890.58203572,202274178.67357245,0.8164704544347906,4.953574707284601,3.1750229509922123,2.3329783711014604,Aave Ethereum USDC,22386951.11438951,22323617.022630975,1.0002,17517180,74,223176879.16491315
2023-06-18,202202493.93367252,165062308.51679426,202202493.93367252,0.816321823265636,4.95349536038,3.174467522660001,2.332162194989352,Aave Ethereum USDC,21803815.490128525,17431107.894840874,1.00022279,17510023,74,223057173.6713436
2023-06-17,197781279.39497012,165026820.65719077,197781279.39497012,0.8343905002638365,4.963536143686984,3.244753005808887,2.436577678757629,Aave Ethereum USDC,9243417.130074224,9657815.946925385,1.00004534,17502952,74,223009217.10431185
2023-06-16,198224395.620792,164500526.24158207,198224395.620792,0.8298702373459398,4.961028387913468,3.227198715394273,2.4102849584001094,Aave Ethereum USDC,4863102.976976256,19943987.384159993,1.00025614,17495815,74,222298008.43457034
2023-06-15,213291303.89036056,163199023.75857008,213291303.89036056,0.765146167620881,4.925074848580268,2.9755239400618754,2.0490090289953966,Aave Ethereum USDC,79927487.25062224,74566978.45832382,1.000249,17488542,74,220539221.29536495
2023-06-14,207868342.544877,149406984.341387,207868342.544877,0.7187577603796562,4.89930600970483,2.7951420679338104,1.8081095816417063,Aave Ethereum USDC,24134598.521894805,23859797.389523845,1.00003438,17481561,74,201901330.19106352
2023-06-13,207576113.278833,150165889.509666,207576113.278833,0.7234256732996587,4.901901478410439,2.8133103488730744,1.8316912132719527,Aave Ethereum USDC,15312795.368874634,23491759.799197093,1.0,17474486,74,202926877.71576488
2023-06-12,215697318.95111325,146920914.88510108,215697318.95111325,0.6811439085082,4.878401969010907,2.6488137830763496,1.6237524887160995,Aave Ethereum USDC,18631269.120959546,8858948.647777038,0.99980468,17467090,74,198541776.87175822
2023-06-11,205926067.28903776,150581337.49526343,205926067.28903776,0.7312398060023528,4.906233830073129,2.8436368105119016,1.871393986051321,Aave Ethereum USDC,5912251.270443234,846465.6438310383,0.999859,17460024,74,203488293.91251814
2023-06-10,200905490.10659957,148954557.31924805,200905490.10659957,0.7414160620509348,4.911889270566922,2.8832248939684586,1.92386242550044,Aave Ethereum USDC,8847896.52827334,7523232.797121937,1.0001328,17453021,74,201289942.32330817
2023-06-09,199557910.0648494,150827897.52121517,199557910.0648494,0.7558101679467445,4.919888221809924,2.9392175526694664,1.999311387358695,Aave Ethereum USDC,38501484.82921666,21751288.145172466,1.00005,17446074,74,203821483.13677725
2023-06-08,182786594.57926,150774658.276428,182786594.57926,0.8248671551843428,4.958255341953278,3.207787393672948,2.38137684858164,Aave Ethereum USDC,9174080.739667332,7971614.619082308,1.0,17438726,74,203749538.2113892
2023-06-07,181568776.7232012,150520989.3438467,181568776.7232012,0.8290026074984997,4.960556030455055,3.223892213185383,2.4053484605177857,Aave Ethereum USDC,17938598.39777435,14206725.274876492,0.99997979,17431857,74,203406742.3565496
2023-06-06,177815361.49620253,149089190.7501247,177815361.49620253,0.8384494427007572,4.965802466025329,3.260617262177301,2.460461769608848,Aave Ethereum USDC,10139456.726272507,1773723.52398149,0.99994,17424810,74,201471879.3920604
2023-06-05,169904727.30049527,150258061.63967463,169904727.30049527,0.8843665742974101,4.99122858351132,3.438600084579239,2.736404611071818,Aave Ethereum USDC,4667314.144533633,7341506.43609927,0.99969895,17417697,74,203051434.64820898
2023-06-04,172605744.78638524,150305165.29036084,172605744.78638524,0.870800479302567,4.983698666758878,3.3858906673121454,2.653156298543744,Aave Ethereum USDC,2684722.6376068154,946522.4348693744,0.99988193,17410575,74,203115088.23021734
2023-06-03,170874153.5855281,145592981.57670584,170874153.5855281,0.8520480044621365,4.973285421357224,3.312997949500573,2.5401496813857007,Aave Ethereum USDC,2068973.3006968456,8529.9519761,0.99999437,17403424,74,196747272.40095386
2023-06-02,168768551.3303609,145065716.63989875,168768551.3303609,0.8595541971319982,4.9774576677376245,3.342203674163376,2.5851324496196706,Aave Ethereum USDC,3276661.8223250704,1158537.9203149602,0.99979708,17396401,74,196034752.21607938
2023-06-01,166650704.1277015,143786419.3290186,166650704.1277015,0.8628011509560597,4.979264347445847,3.354850432120929,2.6047335290687457,Aave Ethereum USDC,3271490.2759374054,608614.8539434185,0.99987375,17388918,74,194305972.06624135
2023-05-31,163948045.9421363,143307831.4665217,163948045.9421363,0.8741051510739,4.985545980543712,3.3988218638059804,2.673460557179229,Aave Ethereum USDC,3733997.9171231394,1151386.0827529985,0.9997,17382265,74,193659231.71151584
2023-05-30,161343467.327976,142975099.51030627,161343467.327976,0.8861536316166377,4.992241815228385,3.445692706598704,2.7477047328368798,Aave Ethereum USDC,1686913.8206573997,1720074.8162055493,0.99964208,17374883,74,193209593.9328463
2023-05-29,161390509.11557713,139613485.91744593,161390509.11557713,0.8650662711365764,4.980532005755795,3.3637240402905655,2.6185308370214964,Aave Ethereum USDC,1969511.9416970648,4604901.105405919,0.9998,17368054,74,188666872.86141342
2023-05-28,164052106.9392769,138266844.03373936,164052106.9392769,0.8428227263482704,4.9681806679411995,3.2772646755883894,2.4856501830360487,Aave Ethereum USDC,2743919.3648277186,2648207.0347683514,1.00003112,17360813,74,186847086.53208023
2023-05-27,163950070.45659655,130445912.42137717,163950070.45659655,0.7956441376212209,4.941976645518827,3.0938365186317887,2.215193647787409,Aave Ethereum USDC,5325865.072171679,4344558.252987904,1.00006,17353312,74,176278260.02888805
2023-05-26,162949477.642473,128127905.974154,162949477.642473,0.7863044903726484,4.936790992913346,3.0575369503934264,2.163517452699177,Aave Ethereum USDC,2388587.007783,3602292.896612946,1.0,17346467,74,173145818.8839919
2023-05-25,164153306.9889634,126897000.85237852,164153306.9889634,0.7730395639297736,4.929425440133544,3.005978080934809,2.091166405908291,Aave Ethereum USDC,2592224.169502601,1676197.5399401372,0.99999781,17339422,74,171482433.58429527
2023-05-24,163197057.55731425,126726741.20036706,163197057.55731425,0.7765258951183055,4.9313646304251835,3.0195524129762825,2.1100955392902345,Aave Ethereum USDC,293810.37967692415,308367.20101943915,0.99980821,17332322,74,171252352.973469
